"ID","NAME","DESCRIPTION"
"--","Reset","Reset value"
"01","Crop and animal production, hunting and related service activities","Crop and animal production, hunting and related service activities"
"01_1","Growing of non-perennial crops","Growing of non-perennial crops"
"01_11","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds"
"01_12","Growing of rice","Growing of rice"
"01_13","Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers"
"01_14","Growing of sugar cane","Growing of sugar cane"
"01_15","Growing of tobacco","Growing of tobacco"
"01_16","Growing of fibre crops","Growing of fibre crops"
"01_19","Growing of other non-perennial crops","Growing of other non-perennial crops"
"01_2","Growing of perennial crops","Growing of perennial crops"
"01_21","Growing of grapes","Growing of grapes"
"01_22","Growing of tropical and subtropical fruits","Growing of tropical and subtropical fruits"
"01_23","Growing of citrus fruits","Growing of citrus fruits"
"01_24","Growing of pome fruits and stone fruits","Growing of pome fruits and stone fruits"
"01_25","Growing of other tree and bush fruits and nuts","Growing of other tree and bush fruits and nuts"
"01_26","Growing of oleaginous fruits","Growing of oleaginous fruits"
"01_27","Growing of beverage crops","Growing of beverage crops"
"01_28","Growing of spices, aromatic, drug and pharmaceutical crops","Growing of spices, aromatic, drug and pharmaceutical crops"
"01_29","Growing of other perennial crops","Growing of other perennial crops"
"01_3","Plant propagation","Plant propagation"
"01_30","Plant propagation","Plant propagation"
"01_4","Animal production","Animal production"
"01_41","Raising of dairy cattle","Raising of dairy cattle"
"01_42","Raising of other cattle and buffaloes","Raising of other cattle and buffaloes"
"01_43","Raising of horses and other equines","Raising of horses and other equines"
"01_44","Raising of camels and camelids","Raising of camels and camelids"
"01_45","Raising of sheep and goats","Raising of sheep and goats"
"01_46","Raising of swine/pigs","Raising of swine/pigs"
"01_47","Raising of poultry","Raising of poultry"
"01_49","Raising of other animals","Raising of other animals"
"01_5","Mixed farming","Mixed farming"
"01_50","Mixed farming","Mixed farming"
"01_6","Support activities to agriculture and post-harvest crop activities","Support activities to agriculture and post-harvest crop activities"
"01_61","Support activities for crop production","Support activities for crop production"
"01_62","Support activities for animal production","Support activities for animal production"
"01_63","Post-harvest crop activities","Post-harvest crop activities"
"01_64","Seed processing for propagation","Seed processing for propagation"
"01_7","Hunting, trapping and related service activities","Hunting, trapping and related service activities"
"01_70","Hunting, trapping and related service activities","Hunting, trapping and related service activities"
"02","Forestry and logging","Forestry and logging"
"02_1","Silviculture and other forestry activities","Silviculture and other forestry activities"
"02_10","Silviculture and other forestry activities","Silviculture and other forestry activities"
"02_2","Logging","Logging"
"02_20","Logging","Logging"
"02_3","Gathering of wild growing non-wood products","Gathering of wild growing non-wood products"
"02_30","Gathering of wild growing non-wood products","Gathering of wild growing non-wood products"
"02_4","Support services to forestry","Support services to forestry"
"02_40","Support services to forestry","Support services to forestry"
"03","Fishing and aquaculture","Fishing and aquaculture"
"03_1","Fishing","Fishing"
"03_11","Marine fishing","Marine fishing"
"03_12","Freshwater fishing","Freshwater fishing"
"03_2","Aquaculture","Aquaculture"
"03_21","Marine aquaculture","Marine aquaculture"
"03_22","Freshwater aquaculture","Freshwater aquaculture"
"05","Mining of coal and lignite","Mining of coal and lignite"
"05_1","Mining of hard coal","Mining of hard coal"
"05_10","Mining of hard coal","Mining of hard coal"
"05_2","Mining of lignite","Mining of lignite"
"05_20","Mining of lignite","Mining of lignite"
"06","Extraction of crude petroleum and natural gas","Extraction of crude petroleum and natural gas"
"06_1","Extraction of crude petroleum","Extraction of crude petroleum"
"06_10","Extraction of crude petroleum","Extraction of crude petroleum"
"06_2","Extraction of natural gas","Extraction of natural gas"
"06_20","Extraction of natural gas","Extraction of natural gas"
"07","Mining of metal ores","Mining of metal ores"
"07_1","Mining of iron ores","Mining of iron ores"
"07_10","Mining of iron ores","Mining of iron ores"
"07_2","Mining of non-ferrous metal ores","Mining of non-ferrous metal ores"
"07_21","Mining of uranium and thorium ores","Mining of uranium and thorium ores"
"07_29","Mining of other non-ferrous metal ores","Mining of other non-ferrous metal ores"
"08","Other mining and quarrying","Other mining and quarrying"
"08_1","Quarrying of stone, sand and clay","Quarrying of stone, sand and clay"
"08_11","Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate","Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate"
"08_12","Operation of gravel and sand pits; mining of clays and kaolin","Operation of gravel and sand pits; mining of clays and kaolin"
"08_9","Mining and quarrying n.e.c.","Mining and quarrying n.e.c."
"08_91","Mining of chemical and fertiliser minerals","Mining of chemical and fertiliser minerals"
"08_92","Extraction of peat","Extraction of peat"
"08_93","Extraction of salt","Extraction of salt"
"08_99","Other mining and quarrying n.e.c.","Other mining and quarrying n.e.c."
"09","Mining support service activities","Mining support service activities"
"09_1","Support activities for petroleum and natural gas extraction","Support activities for petroleum and natural gas extraction"
"09_10","Support activities for petroleum and natural gas extraction","Support activities for petroleum and natural gas extraction"
"09_9","Support activities for other mining and quarrying","Support activities for other mining and quarrying"
"09_90","Support activities for other mining and quarrying","Support activities for other mining and quarrying"
"10","Manufacture of food products","Manufacture of food products"
"10_1","Processing and preserving of meat and production of meat products","Processing and preserving of meat and production of meat products"
"10_11","Processing and preserving of meat","Processing and preserving of meat"
"10_12","Processing and preserving of poultry meat","Processing and preserving of poultry meat"
"10_13","Production of meat and poultry meat products","Production of meat and poultry meat products"
"10_2","Processing and preserving of fish, crustaceans and molluscs","Processing and preserving of fish, crustaceans and molluscs"
"10_20","Processing and preserving of fish, crustaceans and molluscs","Processing and preserving of fish, crustaceans and molluscs"
"10_3","Processing and preserving of fruit and vegetables","Processing and preserving of fruit and vegetables"
"10_31","Processing and preserving of potatoes","Processing and preserving of potatoes"
"10_32","Manufacture of fruit and vegetable juice","Manufacture of fruit and vegetable juice"
"10_39","Other processing and preserving of fruit and vegetables","Other processing and preserving of fruit and vegetables"
"10_4","Manufacture of vegetable and animal oils and fats","Manufacture of vegetable and animal oils and fats"
"10_41","Manufacture of oils and fats","Manufacture of oils and fats"
"10_42","Manufacture of margarine and similar edible fats","Manufacture of margarine and similar edible fats"
"10_5","Manufacture of dairy products","Manufacture of dairy products"
"10_51","Operation of dairies and cheese making","Operation of dairies and cheese making"
"10_52","Manufacture of ice cream","Manufacture of ice cream"
"10_6","Manufacture of grain mill products, starches and starch products","Manufacture of grain mill products, starches and starch products"
"10_61","Manufacture of grain mill products","Manufacture of grain mill products"
"10_62","Manufacture of starches and starch products","Manufacture of starches and starch products"
"10_7","Manufacture of bakery and farinaceous products","Manufacture of bakery and farinaceous products"
"10_71","Manufacture of bread; manufacture of fresh pastry goods and cakes","Manufacture of bread; manufacture of fresh pastry goods and cakes"
"10_72","Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes","Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes"
"10_73","Manufacture of macaroni, noodles, couscous and similar farinaceous products","Manufacture of macaroni, noodles, couscous and similar farinaceous products"
"10_8","Manufacture of other food products","Manufacture of other food products"
"10_81","Manufacture of sugar","Manufacture of sugar"
"10_82","Manufacture of cocoa, chocolate and sugar confectionery","Manufacture of cocoa, chocolate and sugar confectionery"
"10_83","Processing of tea and coffee","Processing of tea and coffee"
"10_84","Manufacture of condiments and seasonings","Manufacture of condiments and seasonings"
"10_85","Manufacture of prepared meals and dishes","Manufacture of prepared meals and dishes"
"10_86","Manufacture of homogenised food preparations and dietetic food","Manufacture of homogenised food preparations and dietetic food"
"10_89","Manufacture of other food products n.e.c.","Manufacture of other food products n.e.c."
"10_9","Manufacture of prepared animal feeds","Manufacture of prepared animal feeds"
"10_91","Manufacture of prepared feeds for farm animals","Manufacture of prepared feeds for farm animals"
"10_92","Manufacture of prepared pet foods","Manufacture of prepared pet foods"
"11","Manufacture of beverages","Manufacture of beverages"
"11_0","Manufacture of beverages","Manufacture of beverages"
"11_01","Distilling, rectifying and blending of spirits","Distilling, rectifying and blending of spirits"
"11_02","Manufacture of wine from grape","Manufacture of wine from grape"
"11_03","Manufacture of cider and other fruit wines","Manufacture of cider and other fruit wines"
"11_04","Manufacture of other non-distilled fermented beverages","Manufacture of other non-distilled fermented beverages"
"11_05","Manufacture of beer","Manufacture of beer"
"11_06","Manufacture of malt","Manufacture of malt"
"11_07","Manufacture of soft drinks; production of mineral waters and other bottled waters","Manufacture of soft drinks; production of mineral waters and other bottled waters"
"12","Manufacture of tobacco products","Manufacture of tobacco products"
"12_0","Manufacture of tobacco products","Manufacture of tobacco products"
"12_00","Manufacture of tobacco products","Manufacture of tobacco products"
"13","Manufacture of textiles","Manufacture of textiles"
"13_1","Preparation and spinning of textile fibres","Preparation and spinning of textile fibres"
"13_10","Preparation and spinning of textile fibres","Preparation and spinning of textile fibres"
"13_2","Weaving of textiles","Weaving of textiles"
"13_20","Weaving of textiles","Weaving of textiles"
"13_3","Finishing of textiles","Finishing of textiles"
"13_30","Finishing of textiles","Finishing of textiles"
"13_9","Manufacture of other textiles","Manufacture of other textiles"
"13_91","Manufacture of knitted and crocheted fabrics","Manufacture of knitted and crocheted fabrics"
"13_92","Manufacture of made-up textile articles, except apparel","Manufacture of made-up textile articles, except apparel"
"13_93","Manufacture of carpets and rugs","Manufacture of carpets and rugs"
"13_94","Manufacture of cordage, rope, twine and netting","Manufacture of cordage, rope, twine and netting"
"13_95","Manufacture of non-wovens and articles made from non-wovens, except apparel","Manufacture of non-wovens and articles made from non-wovens, except apparel"
"13_96","Manufacture of other technical and industrial textiles","Manufacture of other technical and industrial textiles"
"13_99","Manufacture of other textiles n.e.c.","Manufacture of other textiles n.e.c."
"14","Manufacture of wearing apparel","Manufacture of wearing apparel"
"14_1","Manufacture of wearing apparel, except fur apparel","Manufacture of wearing apparel, except fur apparel"
"14_11","Manufacture of leather clothes","Manufacture of leather clothes"
"14_12","Manufacture of workwear","Manufacture of workwear"
"14_13","Manufacture of other outerwear","Manufacture of other outerwear"
"14_14","Manufacture of underwear","Manufacture of underwear"
"14_19","Manufacture of other wearing apparel and accessories","Manufacture of other wearing apparel and accessories"
"14_2","Manufacture of articles of fur","Manufacture of articles of fur"
"14_20","Manufacture of articles of fur","Manufacture of articles of fur"
"14_3","Manufacture of knitted and crocheted apparel","Manufacture of knitted and crocheted apparel"
"14_31","Manufacture of knitted and crocheted hosiery","Manufacture of knitted and crocheted hosiery"
"14_39","Manufacture of other knitted and crocheted apparel","Manufacture of other knitted and crocheted apparel"
"15","Manufacture of leather and related products","Manufacture of leather and related products"
"15_1","Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur","Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur"
"15_11","Tanning and dressing of leather; dressing and dyeing of fur","Tanning and dressing of leather; dressing and dyeing of fur"
"15_12","Manufacture of luggage, handbags and the like, saddlery and harness","Manufacture of luggage, handbags and the like, saddlery and harness"
"15_2","Manufacture of footwear","Manufacture of footwear"
"15_20","Manufacture of footwear","Manufacture of footwear"
"16","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials"
"16_1","Sawmilling and planing of wood","Sawmilling and planing of wood"
"16_10","Sawmilling and planing of wood","Sawmilling and planing of wood"
"16_2","Manufacture of products of wood, cork, straw and plaiting materials","Manufacture of products of wood, cork, straw and plaiting materials"
"16_21","Manufacture of veneer sheets and wood-based panels","Manufacture of veneer sheets and wood-based panels"
"16_22","Manufacture of assembled parquet floors","Manufacture of assembled parquet floors"
"16_23","Manufacture of other builders'' carpentry and joinery","Manufacture of other builders'' carpentry and joinery"
"16_24","Manufacture of wooden containers","Manufacture of wooden containers"
"16_29","Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials","Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials"
"17","Manufacture of paper and paper products","Manufacture of paper and paper products"
"17_1","Manufacture of pulp, paper and paperboard","Manufacture of pulp, paper and paperboard"
"17_11","Manufacture of pulp","Manufacture of pulp"
"17_12","Manufacture of paper and paperboard","Manufacture of paper and paperboard"
"17_2","Manufacture of articles of paper and paperboard","Manufacture of articles of paper and paperboard"
"17_21","Manufacture of corrugated paper and paperboard and of containers of paper and paperboard","Manufacture of corrugated paper and paperboard and of containers of paper and paperboard"
"17_22","Manufacture of household and sanitary goods and of toilet requisites","Manufacture of household and sanitary goods and of toilet requisites"
"17_23","Manufacture of paper stationery","Manufacture of paper stationery"
"17_24","Manufacture of wallpaper","Manufacture of wallpaper"
"17_29","Manufacture of other articles of paper and paperboard","Manufacture of other articles of paper and paperboard"
"18","Printing and reproduction of recorded media","Printing and reproduction of recorded media"
"18_1","Printing and service activities related to printing","Printing and service activities related to printing"
"18_11","Printing of newspapers","Printing of newspapers"
"18_12","Other printing","Other printing"
"18_13","Pre-press and pre-media services","Pre-press and pre-media services"
"18_14","Binding and related services","Binding and related services"
"18_2","Reproduction of recorded media","Reproduction of recorded media"
"18_20","Reproduction of recorded media","Reproduction of recorded media"
"19","Manufacture of coke and refined petroleum products","Manufacture of coke and refined petroleum products"
"19_1","Manufacture of coke oven products","Manufacture of coke oven products"
"19_10","Manufacture of coke oven products","Manufacture of coke oven products"
"19_2","Manufacture of refined petroleum products","Manufacture of refined petroleum products"
"19_20","Manufacture of refined petroleum products","Manufacture of refined petroleum products"
"20","Manufacture of chemicals and chemical products","Manufacture of chemicals and chemical products"
"20_1","Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms","Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms"
"20_11","Manufacture of industrial gases","Manufacture of industrial gases"
"20_12","Manufacture of dyes and pigments","Manufacture of dyes and pigments"
"20_13","Manufacture of other inorganic basic chemicals","Manufacture of other inorganic basic chemicals"
"20_14","Manufacture of other organic basic chemicals","Manufacture of other organic basic chemicals"
"20_15","Manufacture of fertilisers and nitrogen compounds","Manufacture of fertilisers and nitrogen compounds"
"20_16","Manufacture of plastics in primary forms","Manufacture of plastics in primary forms"
"20_17","Manufacture of synthetic rubber in primary forms","Manufacture of synthetic rubber in primary forms"
"20_2","Manufacture of pesticides and other agrochemical products","Manufacture of pesticides and other agrochemical products"
"20_20","Manufacture of pesticides and other agrochemical products","Manufacture of pesticides and other agrochemical products"
"20_3","Manufacture of paints, varnishes and similar coatings, printing ink and mastics","Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
"20_30","Manufacture of paints, varnishes and similar coatings, printing ink and mastics","Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
"20_4","Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations"
"20_41","Manufacture of soap and detergents, cleaning and polishing preparations","Manufacture of soap and detergents, cleaning and polishing preparations"
"20_42","Manufacture of perfumes and toilet preparations","Manufacture of perfumes and toilet preparations"
"20_5","Manufacture of other chemical products","Manufacture of other chemical products"
"20_51","Manufacture of explosives","Manufacture of explosives"
"20_52","Manufacture of glues","Manufacture of glues"
"20_53","Manufacture of essential oils","Manufacture of essential oils"
"20_59","Manufacture of other chemical products n.e.c.","Manufacture of other chemical products n.e.c."
"20_6","Manufacture of man-made fibres","Manufacture of man-made fibres"
"20_60","Manufacture of man-made fibres","Manufacture of man-made fibres"
"21","Manufacture of basic pharmaceutical products and pharmaceutical preparations","Manufacture of basic pharmaceutical products and pharmaceutical preparations"
"21_1","Manufacture of basic pharmaceutical products","Manufacture of basic pharmaceutical products"
"21_10","Manufacture of basic pharmaceutical products","Manufacture of basic pharmaceutical products"
"21_2","Manufacture of pharmaceutical preparations","Manufacture of pharmaceutical preparations"
"21_20","Manufacture of pharmaceutical preparations","Manufacture of pharmaceutical preparations"
"22","Manufacture of rubber and plastic products","Manufacture of rubber and plastic products"
"22_1","Manufacture of rubber products","Manufacture of rubber products"
"22_11","Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres","Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres"
"22_19","Manufacture of other rubber products","Manufacture of other rubber products"
"22_2","Manufacture of plastics products","Manufacture of plastics products"
"22_21","Manufacture of plastic plates, sheets, tubes and profiles","Manufacture of plastic plates, sheets, tubes and profiles"
"22_22","Manufacture of plastic packing goods","Manufacture of plastic packing goods"
"22_23","Manufacture of builders’ ware of plastic","Manufacture of builders’ ware of plastic"
"22_29","Manufacture of other plastic products","Manufacture of other plastic products"
"23","Manufacture of other non-metallic mineral products","Manufacture of other non-metallic mineral products"
"23_1","Manufacture of glass and glass products","Manufacture of glass and glass products"
"23_11","Manufacture of flat glass","Manufacture of flat glass"
"23_12","Shaping and processing of flat glass","Shaping and processing of flat glass"
"23_13","Manufacture of hollow glass","Manufacture of hollow glass"
"23_14","Manufacture of glass fibres","Manufacture of glass fibres"
"23_19","Manufacture and processing of other glass, including technical glassware","Manufacture and processing of other glass, including technical glassware"
"23_2","Manufacture of refractory products","Manufacture of refractory products"
"23_20","Manufacture of refractory products","Manufacture of refractory products"
"23_3","Manufacture of clay building materials","Manufacture of clay building materials"
"23_31","Manufacture of ceramic tiles and flags","Manufacture of ceramic tiles and flags"
"23_32","Manufacture of bricks, tiles and construction products, in baked clay","Manufacture of bricks, tiles and construction products, in baked clay"
"23_4","Manufacture of other porcelain and ceramic products","Manufacture of other porcelain and ceramic products"
"23_41","Manufacture of ceramic household and ornamental articles","Manufacture of ceramic household and ornamental articles"
"23_42","Manufacture of ceramic sanitary fixtures","Manufacture of ceramic sanitary fixtures"
"23_43","Manufacture of ceramic insulators and insulating fittings","Manufacture of ceramic insulators and insulating fittings"
"23_44","Manufacture of other technical ceramic products","Manufacture of other technical ceramic products"
"23_49","Manufacture of other ceramic products","Manufacture of other ceramic products"
"23_5","Manufacture of cement, lime and plaster","Manufacture of cement, lime and plaster"
"23_51","Manufacture of cement","Manufacture of cement"
"23_52","Manufacture of lime and plaster","Manufacture of lime and plaster"
"23_6","Manufacture of articles of concrete, cement and plaster","Manufacture of articles of concrete, cement and plaster"
"23_61","Manufacture of concrete products for construction purposes","Manufacture of concrete products for construction purposes"
"23_62","Manufacture of plaster products for construction purposes","Manufacture of plaster products for construction purposes"
"23_63","Manufacture of ready-mixed concrete","Manufacture of ready-mixed concrete"
"23_64","Manufacture of mortars","Manufacture of mortars"
"23_65","Manufacture of fibre cement","Manufacture of fibre cement"
"23_69","Manufacture of other articles of concrete, plaster and cement","Manufacture of other articles of concrete, plaster and cement"
"23_7","Cutting, shaping and finishing of stone","Cutting, shaping and finishing of stone"
"23_70","Cutting, shaping and finishing of stone","Cutting, shaping and finishing of stone"
"23_9","Manufacture of abrasive products and non-metallic mineral products n.e.c.","Manufacture of abrasive products and non-metallic mineral products n.e.c."
"23_91","Production of abrasive products","Production of abrasive products"
"23_99","Manufacture of other non-metallic mineral products n.e.c.","Manufacture of other non-metallic mineral products n.e.c."
"24","Manufacture of basic metals","Manufacture of basic metals"
"24_1","Manufacture of basic iron and steel and of ferro-alloys","Manufacture of basic iron and steel and of ferro-alloys"
"24_10","Manufacture of basic iron and steel and of ferro-alloys","Manufacture of basic iron and steel and of ferro-alloys"
"24_2","Manufacture of tubes, pipes, hollow profiles and related fittings, of steel","Manufacture of tubes, pipes, hollow profiles and related fittings, of steel"
"24_20","Manufacture of tubes, pipes, hollow profiles and related fittings, of steel","Manufacture of tubes, pipes, hollow profiles and related fittings, of steel"
"24_3","Manufacture of other products of first processing of steel","Manufacture of other products of first processing of steel"
"24_31","Cold drawing of bars","Cold drawing of bars"
"24_32","Cold rolling of narrow strip","Cold rolling of narrow strip"
"24_33","Cold forming or folding","Cold forming or folding"
"24_34","Cold drawing of wire","Cold drawing of wire"
"24_4","Manufacture of basic precious and other non-ferrous metals","Manufacture of basic precious and other non-ferrous metals"
"24_41","Precious metals production","Precious metals production"
"24_42","Aluminium production","Aluminium production"
"24_43","Lead, zinc and tin production","Lead, zinc and tin production"
"24_44","Copper production","Copper production"
"24_45","Other non-ferrous metal production","Other non-ferrous metal production"
"24_46","Processing of nuclear fuel","Processing of nuclear fuel"
"24_5","Casting of metals","Casting of metals"
"24_51","Casting of iron","Casting of iron"
"24_52","Casting of steel","Casting of steel"
"24_53","Casting of light metals","Casting of light metals"
"24_54","Casting of other non-ferrous metals","Casting of other non-ferrous metals"
"25","Manufacture of fabricated metal products, except machinery and equipment","Manufacture of fabricated metal products, except machinery and equipment"
"25_1","Manufacture of structural metal products","Manufacture of structural metal products"
"25_11","Manufacture of metal structures and parts of structures","Manufacture of metal structures and parts of structures"
"25_12","Manufacture of doors and windows of metal","Manufacture of doors and windows of metal"
"25_2","Manufacture of tanks, reservoirs and containers of metal","Manufacture of tanks, reservoirs and containers of metal"
"25_21","Manufacture of central heating radiators and boilers","Manufacture of central heating radiators and boilers"
"25_29","Manufacture of other tanks, reservoirs and containers of metal","Manufacture of other tanks, reservoirs and containers of metal"
"25_3","Manufacture of steam generators, except central heating hot water boilers","Manufacture of steam generators, except central heating hot water boilers"
"25_30","Manufacture of steam generators, except central heating hot water boilers","Manufacture of steam generators, except central heating hot water boilers"
"25_4","Manufacture of weapons and ammunition","Manufacture of weapons and ammunition"
"25_40","Manufacture of weapons and ammunition","Manufacture of weapons and ammunition"
"25_5","Forging, pressing, stamping and roll-forming of metal; powder metallurgy","Forging, pressing, stamping and roll-forming of metal; powder metallurgy"
"25_50","Forging, pressing, stamping and roll-forming of metal; powder metallurgy","Forging, pressing, stamping and roll-forming of metal; powder metallurgy"
"25_6","Treatment and coating of metals; machining","Treatment and coating of metals; machining"
"25_61","Treatment and coating of metals","Treatment and coating of metals"
"25_62","Machining","Machining"
"25_7","Manufacture of cutlery, tools and general hardware","Manufacture of cutlery, tools and general hardware"
"25_71","Manufacture of cutlery","Manufacture of cutlery"
"25_72","Manufacture of locks and hinges","Manufacture of locks and hinges"
"25_73","Manufacture of tools","Manufacture of tools"
"25_9","Manufacture of other fabricated metal products","Manufacture of other fabricated metal products"
"25_91","Manufacture of steel drums and similar containers","Manufacture of steel drums and similar containers"
"25_92","Manufacture of light metal packaging","Manufacture of light metal packaging"
"25_93","Manufacture of wire products, chain and springs","Manufacture of wire products, chain and springs"
"25_94","Manufacture of fasteners and screw machine products","Manufacture of fasteners and screw machine products"
"25_99","Manufacture of other fabricated metal products n.e.c.","Manufacture of other fabricated metal products n.e.c."
"26","Manufacture of computer, electronic and optical products","Manufacture of computer, electronic and optical products"
"26_1","Manufacture of electronic components and boards","Manufacture of electronic components and boards"
"26_11","Manufacture of electronic components","Manufacture of electronic components"
"26_12","Manufacture of loaded electronic boards","Manufacture of loaded electronic boards"
"26_2","Manufacture of computers and peripheral equipment","Manufacture of computers and peripheral equipment"
"26_20","Manufacture of computers and peripheral equipment","Manufacture of computers and peripheral equipment"
"26_3","Manufacture of communication equipment","Manufacture of communication equipment"
"26_30","Manufacture of communication equipment","Manufacture of communication equipment"
"26_4","Manufacture of consumer electronics","Manufacture of consumer electronics"
"26_40","Manufacture of consumer electronics","Manufacture of consumer electronics"
"26_5","Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks","Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks"
"26_51","Manufacture of instruments and appliances for measuring, testing and navigation","Manufacture of instruments and appliances for measuring, testing and navigation"
"26_52","Manufacture of watches and clocks","Manufacture of watches and clocks"
"26_6","Manufacture of irradiation, electromedical and electrotherapeutic equipment","Manufacture of irradiation, electromedical and electrotherapeutic equipment"
"26_60","Manufacture of irradiation, electromedical and electrotherapeutic equipment","Manufacture of irradiation, electromedical and electrotherapeutic equipment"
"26_7","Manufacture of optical instruments and photographic equipment","Manufacture of optical instruments and photographic equipment"
"26_70","Manufacture of optical instruments and photographic equipment","Manufacture of optical instruments and photographic equipment"
"26_8","Manufacture of magnetic and optical media","Manufacture of magnetic and optical media"
